#;R mean;G mean;B mean;H° mean;S% mean;V% mean;L mean;C mean;Color 1 HEX;Color 1%;Color 1 Name;Color 2 HEX;Color 2 %;Color 2 Name;Color 3 HEX;Color 3 %;Color 3 Name;Color 4 HEX;Color 4 %;Color 4 Name;Color 5 HEX;Color 5 %;Color 5 Name
175;100,2;170,5;108,7;122,8;45,5;66,9;63,7;43,2;#6BCF85;30,43;blue-green;#4EA45E;22,84;green;#7EA871;12,59;green;#407C44;12,08;green;#345730;11,65;dark green
176;93;112,9;48;85,5;56,8;44,3;44;37,2;#374D29;25,37;dark yellow-green;#526E36;24,33;yellow-green;#70812C;17,16;yellow;#98A73C;15,14;yellow;#121F0C;11,03;very dark yellow-green
177;104,8;136,2;119,9;116,5;42,9;56,7;53,9;22,4;#62B8B2;41,99;cyan;#594025;12,68;dark orange;#957C53;12,65;orange;#282E29;12,2;very dark green;#596C60;11,6;pale blue-green
178;99,3;91,3;64,7;82,5;33,7;39,9;37,5;17,3;#20241E;45,17;very dark yellow-green;#8F7C4A;15,07;orange;#C2AB6D;13,34;orange;#594A2B;12,76;dark orange;#E5D6AD;7,4;pale orange
179;112,8;108;89,6;82,3;23,6;45,5;44,8;12,6;#252D2E;24,6;very dark cyan;#585549;21,61;dark yellow-orange;#A99B76;17,48;orange;#817357;15,97;orange;#807F74;11,07;pale yellow-orange
180;85,7;144,6;116;138;43,3;56,7;54,7;27,6;#4CD3BB;24,79;cyan;#567E5C;23,55;green;#36533D;16,39;dark green;#82AB80;14,77;green;#13281E;12,52;very dark blue-green
181;153,3;150,8;140,9;49,6;24,7;65,7;62,8;12,5;#AE988A;38,64;pale red-orange;#BAADA7;23,57;pale red-orange;#928274;23,17;pale red-orange;#18919A;8,85;cyan;#82A29F;3,63;pale cyan
182;89,7;110,1;59,4;85,6;50,6;43,7;43,3;31,7;#5D8850;21,45;green;#3A6533;19,5;green;#565B2C;19,47;dark yellow;#273110;17,64;very dark yellow-green;#86874A;14,65;yellow
183;113,2;106,6;84,6;54,4;33,8;44,6;43,8;14;#433B25;26,37;dark orange;#5F553A;25,03;dark orange;#F1F3EB;13,59;white;#A09C87;13,46;pale yellow-orange;#212012;12,35;very dark yellow-orange
184;107,2;134,3;121,7;135,3;33,8;54,2;52,9;16,9;#86C2BA;27,62;cyan;#39635E;16,7;cyan;#182B34;15,86;dark blue-cyan;#CBC8A4;14,03;pale yellow-orange;#868B6E;12,9;pale yellow
